Church ID,Location names,Existing plants,NEXT50,NEXT50 planted,City / region,Latitude,Longitude,Country,Population,square meters,City picture
,AMEN Berlin,Y,,,Berlin,52.52,13.405,Germany,,,
,C3 Alicante,Y,,,Alicante,38.3436,-0.4882,Spain,,,
,C3 ARISE,Y,,,York,53.959,-1.0815,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Cheltenham,Y,,,Cheltenham,51.8994,-2.0783,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Chisinau,Y,,,Chisinau,47.0105,28.8638,Moldova (Republic of),,,
,C3 Crveba Zvezda,Y,,,Crevba Zvezda,44.7866,20.4489,Serbia,,,
,C3 Den Haag,Y,,,The Hague,52.0705,4.3007,Netherlands,,,
,C3 Edinburgh,Y,,,Edinburgh,55.9533,-3.1883,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Euskirchen,Y,,,Euskirchen,50.6606,6.7872,Germany,,,
,C3 Frankfurt,Y,,,Frankfurt,50.1109,8.6821,Germany,,,
,C3 Fredirikstad,Y,,,Fredrikstad,59.2181,10.9298,Norway,,,
,C3 Hanau,Y,,,Hanau,50.1264,8.9283,Germany,,,
,C3 Hanau Kinzigtal,Y,,,Kinzingtal,50.35,9.45,Germany,,,
,C3 Hanau Oldenwaldkirche,Y,,,Odenwaldkirche,49.73,8.99,Germany,,,
,C3 Home Erzgebirge,Y,,,Erzgebirge,50.5833,13.0000,Germany,,,
,C3 Home Leipzig,Y,,,Leipzig,51.3397,12.3731,Germany,,,
,C3 Home Limbach.Oberfrohna,Y,,,Limbach-oberfrohna,50.8667,12.7500,Germany,,,
,C3 Home Ludwigslust.Parchim,Y,,,Ludwigslust,53.3248,11.497,Germany,,,
,C3 Hope,Y,,,Sheffield,53.3811,-1.4701,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Imagine Almere,Y,,,Almere,52.3508,5.2647,Netherlands,,,
,C3 Imagine Amsterdam City,Y,,,Amsterdam,52.3676,4.9041,Netherlands,,,
,C3 Imagine Amsterdam Zuidoost,Y,,,Amsterdam,52.3676,4.9041,Netherlands,,,
,C3 Lausanne,Y,,,Lausanne,46.5197,6.6323,Switzerland,,,
,C3 LIFE,Y,,,Leeds,53.8008,-1.5491,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Liverpool,Y,,,Liverpool,53.4084,-2.9916,United Kingdom of Great Britain and Northern Ireland,,,
,C3 London,Y,,,London,51.5074,-0.1278,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Madrid,Y,,,Madrid,40.4168,-3.7038,Spain,,,
,C3 Malmo,Y,,,Malmo,55.605,13.0038,Sweden,,,
,C3 Mosaic,Y,,,Malaga,36.7213,-4.4214,Spain,,,
,C3 Newcastle,Y,,,Newcastle,54.9783,-1.6178,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Nis,Y,,,Nis,43.3209,21.8958,Serbia,,,
,Oslo,,,,Oslo,59.9139,10.7522,Norway,,,
,C3 Reach Napoli,Y,,,Naples,40.8518,14.2681,Italy,,,
,C3 Rivers,Y,,,Arnhem,51.9851,5.8987,Netherlands,,,
,C3 Stara Zagora,Y,,,Stara Zagora,42.4258,25.6345,Bulgaria,,,
,C3 Sunderland,Y,,,Sunderland,54.9069,-1.3838,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Trebic,Y,,,Trebic,49.2149,15.8817,Czech Republic,,,
,C3 United Life Ewell,Y,,,Ewell,51.3495,-0.2494,United Kingdom of Great Britain and Northern Ireland,,,
,C3 United Life Sutton,Y,,,Sutton,51.3618,-0.1945,United Kingdom of Great Britain and Northern Ireland,,,
,C3 Victory Church,Y,,,Tirana,41.3275,19.8187,Albania,,,
,C3 Vive,Y,,,Valencia,39.4699,-0.3763,Spain,,,
,C3 Zurich - South,Y,,,Zurich,47.3769,8.5417,Switzerland,,,
,C3 Zurich - West,Y,,,Zurich,47.3769,8.5417,Switzerland,,,
,Eglise Lumen,Y,,,Paris,48.8566,2.3522,France,,,
,Messiah Christian Church - Bratya Kunchevi,Y,,,Bratya Kunchevi,42.5002,25.8524,Bulgaria,,,
,Messiah Christian Church - Chirpan,Y,,,Chirpan,42.2,24.7167,Bulgaria,,,
,Messiah Christian Church - Cyprus,Y,,,Cyprus,35.1264,33.4299,Greece,,,
,Messiah Christian Church - Lozenetz,Y,,,Lozenets,42.4258,25.6345,Bulgaria,,,
,Messiah Christian Church - Lozenetz (turkish speaking),Y,,,Lozenets,42.4258,25.6345,Bulgaria,,,
,Messiah Christian Church - Muglizh,Y,,,Maglizh,42.6058,25.546,Bulgaria,,,
,Reflect Church,Y,,,London,51.5074,-0.1278,United Kingdom of Great Britain and Northern Ireland,,,
,The Collective Budapest,Y,,,Budgapest / Budapest,47.4979,19.0402,Hungary,,,
,C3 Porto,Y,,,Porto,41.1579,-8.6291,Portugal,,,
,Bergwinkel,,Y,,Bergwinkel,50.35,9.45,Germany,,,
,Barcelona,,Y,,Barcelona,41.3874,2.1686,Spain,,,
,Aachen,,Y,,Aachen,50.7753,6.0839,Germany,,,
,Oberhausen,,Y,,Oberhausen,51.4963,6.8638,Germany,,,
,Corke,,Y,,Cork,51.8985,-8.4756,Ireland,,,
,Halle,,Y,,Halle (Saale),51.4816,11.795,Germany,,,
